Bath,Bed,Fireplaces,LotArea,SalePrice,SaleType,Sq. Ft.,Stories,YearBuilt
2.0,3.0,0.0,2468.0,179900.0,WD,11049,1Story,2007.0
2.0,4.0,1.0,3098.0,165500.0,WD,10552,1Story,1959.0
3.0,2.0,1.0,3122.0,277500.0,WD,7313,1Story,2005.0
3.5,4.0,1.0,3569.0,309000.0,WD,13418,2Story,2004.0
1.5,3.0,0.0,2194.0,145000.0,WD,10859,1Story,1994.0
1.5,3.0,1.0,2594.0,153000.0,WD,8532,1Story,1954.0
2.0,3.0,0.0,2114.0,109000.0,WD,7922,1Story,1953.0
2.0,2.0,0.0,1152.0,82000.0,WD,6040,1Story,1955.0
2.0,3.0,1.0,2412.0,160000.0,WD,8658,1Story,1965.0
2.0,2.0,2.0,2678.0,170000.0,WD,16905,1Story,1959.0
2.0,2.0,0.0,1724.0,144000.0,WD,9180,SFoyer,1983.0
2.0,3.0,0.0,1876.0,130250.0,WD,9200,1Story,1975.0
2.0,3.0,0.0,2300.0,141000.0,WD,7945,1Story,1959.0
3.0,2.0,1.0,3504.0,319900.0,WD,7658,1Story,2005.0
2.5,1.0,1.0,3583.0,239686.0,WD,12822,1.5Fin,2003.0
2.0,3.0,0.0,3312.0,249700.0,WD,11096,1Story,2006.0
2.0,2.0,0.0,2188.0,113000.0,New,4456,2Story,1920.0
2.0,3.0,0.0,1910.0,127000.0,WD,7742,1Story,1966.0
2.5,3.0,0.0,2264.0,177000.0,WD,13869,2Story,1997.0
1.0,3.0,1.0,1992.0,114500.0,WD,6240,1.5Fin,1934.0
2.0,2.0,0.0,1632.0,110000.0,WD,8472,1Story,1963.0
2.5,0.0,1.0,3684.0,385000.0,WD,50271,1Story,1981.0
1.0,3.0,1.0,1744.0,130000.0,WD,7134,SLvl,1955.0
2.0,3.0,1.0,2850.0,180500.0,WD,10175,1Story,1964.0
3.5,3.0,0.0,2709.0,172500.0,WD,2645,2Story,1999.0
2.5,3.0,0.0,2580.0,196500.0,WD,11645,2Story,2004.0
3.5,3.0,1.0,4355.0,438780.0,New,13682,2Story,2006.0
1.0,2.0,0.0,1560.0,124900.0,WD,7200,1Story,1972.0
2.5,3.0,0.0,2316.0,158000.0,New,13072,1Story,2004.0
1.0,3.0,0.0,1641.0,101000.0,WD,7200,2.5Unf,1920.0
2.0,2.0,1.0,2740.0,202500.0,WD,6442,1Story,2006.0
2.0,3.0,0.0,2286.0,140000.0,WD,10300,2Story,1921.0
3.5,3.0,0.0,3091.0,219500.0,WD,9375,2Story,1997.0
2.5,4.0,1.0,3616.0,317000.0,WD,9591,2Story,2004.0
3.0,3.0,1.0,4154.0,180000.0,WD,19900,1Story,1970.0
3.0,3.0,0.0,2932.0,226000.0,WD,10665,1Story,2003.0
1.0,2.0,0.0,1494.0,80000.0,WD,4608,1Story,1945.0
2.0,3.0,1.0,3591.0,225000.0,WD,15593,1.5Fin,1953.0
3.0,3.0,2.0,4446.0,244000.0,WD,13651,1Story,1973.0
2.0,2.0,0.0,1690.0,129500.0,WD,7599,1Story,1982.0
2.5,3.0,1.0,2550.0,185000.0,WD,10141,2Story,1998.0
2.0,3.0,0.0,2172.0,144900.0,WD,10200,1Story,1954.0
2.0,3.0,0.0,2445.0,107400.0,WD,5790,2Story,1915.0
2.0,2.0,0.0,1450.0,91000.0,WD,1596,SLvl,1973.0
1.0,2.0,0.0,1904.0,135750.0,WD,8475,1Story,1956.0
2.0,2.0,0.0,1957.0,127000.0,WD,8635,1.5Fin,1948.0
2.0,4.0,0.0,3536.0,136500.0,WD,10778,1Story,1968.0
1.5,2.0,0.0,1670.0,110000.0,WD,10440,2Story,1910.0
2.5,4.0,1.0,3038.0,193500.0,WD,13000,2Story,1968.0
3.0,2.0,0.0,2574.0,153500.0,WD,4500,1Story,1998.0
2.0,3.0,1.0,3126.0,245000.0,WD,10206,1Story,2007.0
1.5,3.0,0.0,2130.0,126500.0,COD,8892,1Story,1960.0
2.5,3.0,1.0,1858.0,168500.0,WD,8530,SLvl,1995.0
2.5,4.0,1.0,3705.0,260000.0,WD,16059,2Story,1991.0
2.5,3.0,1.0,2244.0,174000.0,WD,11911,2Story,2005.0
2.5,2.0,0.0,1836.0,164500.0,New,3951,2Story,2009.0
1.0,2.0,0.0,2539.0,85000.0,ConLD,8470,1.5Fin,1915.0
2.0,3.0,0.0,1980.0,123600.0,WD,8070,1Story,1994.0
1.0,2.0,0.0,1040.0,109900.0,WD,7200,1Story,1950.0
1.0,2.0,0.0,2470.0,98600.0,WD,8500,1Story,1961.0
2.0,2.0,0.0,1840.0,163500.0,WD,13360,1Story,1921.0
2.5,4.0,1.0,3505.0,133900.0,WD,7200,2.5Unf,1910.0
3.5,3.0,0.0,2610.0,204750.0,WD,9337,2Story,1997.0
2.5,3.0,1.0,2150.0,185000.0,WD,9765,2Story,1993.0
2.0,3.0,0.0,3176.0,214000.0,WD,10264,1Story,1999.0
2.0,3.0,0.0,1920.0,94750.0,WD,10921,1Story,1965.0
1.0,2.0,0.0,1293.0,83000.0,COD,10625,1Story,1920.0
2.5,3.0,0.0,2175.0,128950.0,WD,9320,1Story,1959.0
3.0,3.0,2.0,3220.0,205000.0,WD,10603,1Story,1977.0
2.5,3.0,1.0,2473.0,178000.0,WD,9206,2Story,1985.0
2.0,4.0,0.0,1535.0,118964.0,WD,7018,1Story,1979.0
2.0,3.0,0.0,2452.0,198900.0,WD,10402,1Story,2009.0
1.5,4.0,2.0,2858.0,169500.0,WD,7758,1.5Fin,1931.0
2.5,3.0,1.0,3045.0,250000.0,WD,9375,2Story,2003.0
1.0,2.0,0.0,1688.0,100000.0,WD,10800,1Story,1885.0
1.0,2.0,0.0,1578.0,115000.0,WD,6000,1Story,1948.0
2.0,3.0,0.0,2310.0,115000.0,WD,8500,1.5Fin,1919.0
2.0,3.0,1.0,3688.0,190000.0,COD,11751,1Story,1977.0
2.0,4.0,0.0,2849.0,136900.0,WD,9525,1.5Fin,1954.0
2.5,3.0,1.0,1814.0,180000.0,WD,7750,SLvl,2000.0
3.5,4.0,1.0,3960.0,383970.0,New,9965,2Story,2007.0
3.0,3.0,2.0,4068.0,217000.0,COD,21000,1Story,1953.0
3.5,3.0,1.0,3348.0,259500.0,WD,7259,2Story,1945.0
2.5,2.0,1.0,2187.0,176000.0,WD,3230,2Story,1999.0
1.5,3.0,1.0,2184.0,139000.0,WD,11616,1Story,1962.0
1.5,2.0,0.0,2250.0,155000.0,New,8536,1Story,2006.0
4.0,5.0,2.0,4895.0,320000.0,WD,12376,2Story,1990.0
2.5,3.0,1.0,2184.0,163990.0,New,8461,2Story,2005.0
2.0,1.0,2.0,1926.0,180000.0,WD,21453,SLvl,1969.0
1.0,3.0,0.0,1855.0,100000.0,WD,6060,1.5Fin,1939.0
1.0,3.0,0.0,2160.0,136000.0,WD,9464,1Story,1958.0
2.0,2.0,0.0,2398.0,153900.0,WD,7892,1Story,1993.0
2.0,3.0,1.0,2948.0,181000.0,WD,17043,1Story,1979.0
2.0,2.0,0.0,1274.0,84500.0,WD,6780,1.5Fin,1935.0
2.0,2.0,1.0,2036.0,128000.0,WD,4928,1Story,1976.0
1.0,3.0,1.0,1512.0,87000.0,WD,4388,1.5Unf,1930.0
1.5,3.0,1.0,2008.0,155000.0,WD,7590,2Story,1966.0
2.0,3.0,0.0,2061.0,150000.0,WD,8973,1Story,1958.0
2.5,4.0,2.0,3081.0,226000.0,WD,14200,2Story,1966.0
3.5,3.0,1.0,3046.0,244000.0,WD,12224,2Story,2000.0
2.0,3.0,0.0,2390.0,150750.0,WD,7388,1Story,1959.0
3.0,2.0,0.0,2563.0,220000.0,WD,6853,1Story,2001.0
2.5,3.0,1.0,3182.0,180000.0,WD,10335,1Story,1968.0
2.0,3.0,1.0,2986.0,174000.0,WD,10400,1Story,1970.0
2.0,3.0,1.0,2428.0,143000.0,WD,10355,1Story,1967.0
3.0,5.0,0.0,3866.0,171000.0,WD,11070,1Story,1988.0
2.5,3.0,2.0,2856.0,230000.0,WD,9066,2Story,1999.0
3.5,3.0,0.0,2692.0,231500.0,WD,15426,2Story,1997.0
1.0,3.0,1.0,1728.0,115000.0,ConLI,10500,1Story,1971.0
3.0,3.0,0.0,3468.0,260000.0,WD,11645,1Story,2005.0
2.0,4.0,0.0,2295.0,166000.0,WD,8520,1.5Fin,1952.0
3.0,3.0,0.0,2991.0,204000.0,WD,10335,1Story,1999.0
3.0,6.0,0.0,3456.0,125000.0,ConLI,9100,1Story,1963.0
2.0,3.0,0.0,2679.0,130000.0,WD,2522,2Story,2004.0
2.0,2.0,0.0,1590.0,105000.0,WD,6120,1Story,1931.0
2.5,3.0,1.0,2919.0,222500.0,WD,9505,2Story,2001.0
2.0,3.0,0.0,2160.0,141000.0,WD,7500,1Story,2004.0
1.0,3.0,0.0,2240.0,115000.0,WD,6240,1.5Fin,1936.0
1.5,3.0,0.0,1938.0,122000.0,WD,10356,1Story,1975.0
3.0,2.0,1.0,3420.0,372402.0,New,13891,1Story,2007.0
2.5,4.0,1.0,2818.0,190000.0,WD,14803,2Story,1971.0
2.0,1.0,1.0,2854.0,235000.0,WD,13500,1Story,1960.0
1.0,4.0,0.0,2400.0,125000.0,WD,11340,1Story,1923.0
1.0,2.0,0.0,1668.0,79000.0,WD,9600,1.5Fin,1924.0
1.0,2.0,0.0,1040.0,109500.0,WD,7200,1Story,1950.0
2.5,4.0,1.0,2742.0,269500.0,New,12003,2Story,2009.0
2.5,3.0,1.0,2938.0,254900.0,WD,12552,2Story,2004.0
3.5,4.0,1.0,3854.0,320000.0,New,19378,2Story,2005.0
2.0,3.0,0.0,2464.0,162500.0,WD,11120,1Story,1984.0
3.5,3.0,2.0,4240.0,412500.0,WD,13688,2Story,2003.0
2.0,3.0,1.0,3082.0,220000.0,New,12182,1Story,2005.0
1.0,1.0,0.0,1764.0,103200.0,WD,5500,1.5Unf,1956.0
2.0,3.0,0.0,2765.0,152000.0,WD,5400,1Story,1926.0
3.0,4.0,0.0,1999.0,127500.0,WD,10106,1.5Fin,1940.0
2.0,2.0,3.0,3484.0,190000.0,COD,10708,1Story,1955.0
2.5,3.0,1.0,3743.0,325624.0,New,10562,2Story,2007.0
2.5,3.0,1.0,2560.0,183500.0,WD,8244,2Story,2004.0
2.5,2.0,1.0,3393.0,228000.0,WD,16669,1Story,1981.0
1.5,2.0,0.0,2102.0,128500.0,WD,12358,1.5Fin,1941.0
2.0,3.0,2.0,2736.0,215000.0,WD,31770,1Story,1960.0
3.0,2.0,1.0,2831.0,239000.0,WD,5306,2Story,1987.0
2.5,3.0,1.0,2724.0,163000.0,COD,10197,1Story,1961.0
3.0,3.0,1.0,3257.0,184000.0,WD,12416,1Story,1986.0
3.0,4.0,1.0,3360.0,243000.0,WD,12615,1Story,1950.0
3.0,4.0,1.0,3211.0,211000.0,WD,10029,2Story,1988.0
3.0,4.0,1.0,2972.0,172500.0,WD,13650,1.5Fin,1958.0
3.0,1.0,1.0,4450.0,501837.0,New,17423,1Story,2008.0
1.0,2.0,0.0,1936.0,100000.0,WD,8520,1Story,1923.0
2.5,3.0,1.0,2281.0,177000.0,WD,2117,2Story,2000.0
1.5,4.0,1.0,2595.0,200100.0,WD,7588,2Story,1920.0
1.0,3.0,1.0,1340.0,120000.0,WD,9060,1Story,1957.0
2.5,3.0,0.0,3444.0,200000.0,WD,11426,1.5Fin,2003.0
1.0,3.0,0.0,1756.0,127000.0,WD,7438,1.5Fin,1908.0
2.5,4.0,2.0,4715.0,475000.0,WD,22950,2.5Fin,1892.0
3.0,3.0,0.0,2405.0,173000.0,WD,9947,SLvl,1990.0
2.5,3.0,0.0,2316.0,135000.0,WD,10410,1.5Fin,1916.0
3.0,2.0,2.0,2310.0,153337.0,WD,7018,SFoyer,1979.0
2.5,0.0,1.0,3186.0,286000.0,WD,4923,1Story,2001.0
2.5,3.0,2.0,3580.0,315000.0,WD,10570,2Story,1932.0
2.5,4.0,0.0,2204.0,184000.0,WD,7472,2Story,1972.0
3.0,3.0,0.0,2862.0,192000.0,WD,9017,1Story,1999.0
2.0,3.0,0.0,2679.0,130000.0,WD,2522,2Story,2004.0
1.0,3.0,0.0,1728.0,127000.0,WD,7180,1Story,1972.0
2.5,3.0,1.0,2311.0,148500.0,WD,2280,2Story,1976.0
3.0,3.0,1.0,3452.0,311872.0,New,9416,1Story,2007.0
3.5,4.0,1.0,4472.0,235000.0,WD,25419,2Story,1918.0
1.0,5.0,0.0,2984.0,104000.0,WD,5520,2.5Fin,1912.0
3.0,3.0,1.0,3426.0,274900.0,WD,9591,1Story,2004.0
2.0,2.0,0.0,2242.0,140000.0,WD,8546,1Story,2003.0
2.5,3.0,2.0,2475.0,171500.0,WD,10125,1Story,1977.0
2.0,2.0,0.0,1927.0,112000.0,COD,7000,1.5Fin,1924.0
2.0,1.0,1.0,1696.0,149000.0,WD,4438,1Story,2004.0
1.5,2.0,0.0,2004.0,110000.0,WD,3500,1.5Fin,1947.0
2.0,3.0,0.0,2866.0,180500.0,WD,11851,1Story,1990.0
1.5,3.0,1.0,2836.0,143900.0,WD,13673,1Story,1962.0
2.0,3.0,1.0,2200.0,141000.0,WD,12493,1Story,1960.0
3.5,3.0,1.0,3219.0,277000.0,WD,14364,2Story,1988.0
2.0,3.0,0.0,2184.0,145000.0,WD,8250,1Story,1964.0
2.0,2.0,0.0,1728.0,98000.0,WD,5604,1Story,1925.0
2.0,3.0,0.0,2424.0,186000.0,WD,10420,1Story,2009.0
3.5,3.0,1.0,2752.0,252678.0,New,8640,2Story,2009.0
1.5,3.0,0.0,1980.0,156000.0,WD,13568,1Story,1995.0
1.5,3.0,0.0,2081.0,161750.0,WD,10900,2Story,1977.0
1.5,2.0,1.0,2306.0,134450.0,WD,10011,1Story,1957.0
3.0,3.0,0.0,2872.0,210000.0,WD,8450,1Story,2004.0
1.0,3.0,0.0,2014.0,107000.0,WD,9906,2Story,1925.0
2.0,3.0,2.0,2752.0,311500.0,WD,15660,1.5Fin,1939.0
2.0,2.0,0.0,2496.0,167240.0,New,3010,1Story,2005.0
2.0,2.0,0.0,2996.0,204900.0,New,8990,1Story,2006.0
2.5,4.0,1.0,3277.0,200000.0,ConLI,8068,2Story,2002.0
3.5,3.0,1.0,2265.0,179900.0,WD,11475,2Story,1975.0
1.0,2.0,0.0,1728.0,97000.0,WD,10500,1Story,1971.0
2.0,3.0,1.0,4784.0,386250.0,WD,13472,1Story,2003.0
2.5,3.0,0.0,1932.0,112000.0,COD,1680,2Story,1971.0
2.5,4.0,1.0,3723.0,290000.0,WD,9950,2Story,1995.0
1.5,2.0,0.0,1470.0,106000.0,WD,1869,2Story,1970.0
1.0,3.0,1.0,1824.0,125000.0,WD,8521,1Story,1967.0
2.0,2.0,1.0,2928.0,192500.0,WD,3182,1Story,2005.0
2.0,3.0,0.0,2388.0,148000.0,WD,8760,1Story,1959.0
3.5,4.0,1.0,4256.0,403000.0,WD,15138,2Story,1995.0
1.5,2.0,1.0,1470.0,94500.0,WD,1680,2Story,1972.0
2.0,3.0,0.0,1788.0,128200.0,WD,10650,1Story,1976.0
3.5,4.0,2.0,2820.0,216500.0,WD,7851,2Story,2002.0
1.5,2.0,0.0,1470.0,89500.0,WD,1680,2Story,1971.0
2.0,3.0,0.0,2828.0,185500.0,WD,8773,1Story,2004.0
2.5,3.0,0.0,2740.0,194500.0,WD,9453,2Story,1993.0
2.0,3.0,0.0,3388.0,318000.0,New,12030,1Story,2007.0
1.5,3.0,1.0,2222.0,113000.0,WD,8741,1.5Fin,1945.0
3.0,3.0,0.0,3132.0,262500.0,WD,9000,1Story,2008.0
1.0,2.0,0.0,1552.0,110500.0,WD,3880,1Story,1945.0
1.0,3.0,0.0,1980.0,79000.0,WD,5000,1.5Fin,1900.0
1.5,3.0,1.0,1843.0,120000.0,WD,10762,2Story,1980.0
3.5,3.0,2.0,3058.0,205000.0,WD,8880,2Story,1994.0
2.5,3.0,1.0,3717.0,241500.0,WD,10400,1Story,1988.0
2.0,4.0,0.0,2948.0,137000.0,WD,9142,2Story,1910.0
1.0,2.0,1.0,2742.0,140000.0,WD,11310,1Story,1954.0
2.5,3.0,0.0,2508.0,180000.0,WD,11317,2Story,2003.0
2.5,4.0,2.0,3588.0,277000.0,WD,159000,1.5Fin,1958.0
1.0,3.0,0.0,2034.0,76500.0,WD,5350,1Story,1940.0
3.5,2.0,1.0,3198.0,235000.0,WD,4750,1Story,2006.0
2.5,3.0,0.0,2438.0,173000.0,WD,8366,2Story,2004.0
2.5,3.0,0.0,2604.0,158000.0,CWD,9350,SLvl,1964.0
2.0,3.0,0.0,2628.0,145000.0,WD,8400,1Story,1957.0
2.5,4.0,1.0,3266.0,230000.0,WD,8738,2Story,1999.0
2.5,3.0,0.0,2592.0,207500.0,WD,8791,2Story,2003.0
3.5,3.0,1.0,3208.0,220000.0,WD,8814,1Story,2006.0
2.5,3.0,1.0,2755.0,231500.0,WD,12435,2Story,2001.0
1.0,2.0,0.0,882.0,97000.0,WD,12702,1Story,1956.0
2.0,3.0,1.0,2744.0,176000.0,WD,19296,SLvl,1962.0
2.5,3.0,1.0,4056.0,276000.0,New,9588,2Story,2007.0
2.0,3.0,1.0,1718.0,151000.0,WD,8471,SLvl,1977.0
2.0,3.0,0.0,2242.0,130000.0,WD,5500,1.5Fin,1929.0
1.0,2.0,0.0,1444.0,73000.0,WD,5232,1Story,1925.0
2.0,3.0,1.0,2844.0,175500.0,WD,12090,1Story,1981.0
3.5,3.0,1.0,2313.0,185000.0,WD,11207,2Story,1997.0
2.5,4.0,1.0,2912.0,179500.0,WD,8400,2.5Fin,1939.0
1.0,2.0,1.0,1518.0,120500.0,WD,6900,1Story,1940.0
2.5,3.0,1.0,2256.0,148000.0,WD,7917,1Story,1976.0
2.5,3.0,1.0,3034.0,266000.0,New,10728,2Story,2006.0
2.0,2.0,2.0,2748.0,241500.0,WD,39104,1Story,1954.0
2.5,4.0,1.0,3422.0,290000.0,WD,11764,2Story,1999.0
3.0,3.0,1.0,2872.0,139000.0,WD,9600,1Story,1958.0
1.0,2.0,0.0,1632.0,124500.0,WD,8314,1Story,1982.0
2.5,3.0,0.0,2500.0,205000.0,WD,7264,1.5Fin,1925.0
2.0,3.0,0.0,3120.0,201000.0,WD,9196,1Story,2003.0
1.0,2.0,0.0,1728.0,141000.0,WD,19138,1Story,1951.0
2.5,3.0,1.0,4242.0,415298.0,New,14450,1Story,2006.0
2.5,4.0,1.0,3182.0,192000.0,WD,10005,2Story,1977.0
2.5,3.0,1.0,2789.0,228500.0,WD,11287,2Story,1989.0
2.0,2.0,0.0,2524.0,185000.0,New,7200,1Story,2006.0
3.0,2.0,1.0,2628.0,207500.0,ConLw,5063,1Story,2007.0
2.0,3.0,1.0,2936.0,244600.0,New,9612,1Story,2008.0
3.0,2.0,0.0,3150.0,179200.0,WD,8012,1Story,1992.0
2.5,2.0,0.0,1875.0,164700.0,New,4251,2Story,2006.0
1.5,3.0,1.0,2646.0,159000.0,WD,9786,1.5Fin,1962.0
1.0,3.0,0.0,1716.0,88000.0,WD,8125,1Story,1971.0
1.0,3.0,0.0,1782.0,122000.0,WD,9819,1Story,1967.0
1.0,3.0,0.0,2094.0,153575.0,WD,8730,2Story,1915.0
2.5,3.0,1.0,2998.0,233230.0,New,15611,2Story,2006.0
3.0,6.0,0.0,2496.0,135900.0,WD,5687,2Story,1912.0
1.5,3.0,1.0,2484.0,131000.0,WD,11409,1.5Fin,1949.0
3.5,3.0,1.0,3058.0,235000.0,WD,16659,2Story,1977.0
2.0,3.0,2.0,3060.0,167000.0,WD,9600,1Story,1953.0
2.0,3.0,0.0,2006.0,142500.0,WD,7937,SLvl,1984.0
1.5,4.0,0.0,2468.0,152000.0,WD,13710,1.5Fin,1950.0
2.5,3.0,1.0,2925.0,239000.0,WD,7399,2Story,1997.0
2.5,3.0,1.0,2445.0,175000.0,WD,11700,2Story,1968.0
1.5,3.0,1.0,2244.0,158500.0,WD,14000,1Story,1950.0
2.0,2.0,2.0,2501.0,157000.0,WD,15750,1Story,1953.0
2.5,4.0,1.0,3480.0,267000.0,WD,16226,2Story,1998.0
2.0,3.0,1.0,3082.0,205000.0,WD,13704,1Story,2001.0
2.0,3.0,0.0,1788.0,149900.0,WD,9800,1Story,1972.0
3.0,3.0,1.0,4963.0,295000.0,WD,18386,2.5Fin,1880.0
3.0,3.0,0.0,4000.0,305900.0,WD,10386,1Story,2004.0
3.5,4.0,1.0,2943.0,225000.0,WD,13474,2Story,1990.0
1.0,3.0,0.0,1725.0,89500.0,WD,7920,1.5Fin,1920.0
1.0,1.0,0.0,1722.0,82500.0,WD,12342,1Story,1940.0
3.0,3.0,3.0,3840.0,360000.0,WD,12378,1Story,2003.0
2.5,3.0,1.0,2198.0,165600.0,WD,7685,2Story,1993.0
2.0,2.0,1.0,1944.0,132000.0,WD,8000,1Story,1948.0
2.0,3.0,1.0,1911.0,119900.0,WD,7800,1.5Fin,1939.0
4.0,3.0,2.0,4172.0,375000.0,WD,215245,1Story,1965.0
2.0,3.0,1.0,2369.0,178000.0,WD,9600,2Story,1925.0
3.5,3.0,1.0,2148.0,188500.0,WD,7795,2Story,2004.0
3.5,4.0,1.0,3198.0,260000.0,WD,13005,2Story,1980.0
2.5,3.0,1.0,3047.0,270000.0,WD,9000,2Story,2006.0
3.5,4.0,1.0,3993.0,260000.0,WD,9900,2Story,1993.0
3.0,3.0,2.0,2844.0,187500.0,WD,14115,SLvl,1980.0
3.5,4.0,0.0,3845.0,342643.0,New,16259,2Story,2006.0
3.5,4.0,1.0,3604.0,354000.0,WD,12099,2Story,2004.0
3.5,4.0,1.0,4232.0,301000.0,WD,10380,2Story,1986.0
2.0,3.0,0.0,2325.0,126175.0,WD,5820,1Story,1955.0
2.5,5.0,1.0,3688.0,242000.0,WD,11275,SLvl,1967.0
1.0,2.0,0.0,1523.0,87000.0,WD,5000,1.5Unf,1941.0
3.5,1.0,2.0,3438.0,324000.0,Con,10846,1Story,1993.0
1.5,3.0,0.0,2766.0,145250.0,WD,11600,1Story,1960.0
2.0,5.0,0.0,2978.0,214500.0,WD,11888,2.5Unf,1916.0
1.0,3.0,0.0,1788.0,78000.0,WD,6402,2Story,1920.0
2.5,6.0,0.0,3456.0,119000.0,WD,10624,1Story,1964.0
2.0,3.0,0.0,2112.0,139000.0,WD,8176,1Story,1958.0
3.0,3.0,1.0,4835.0,284000.0,WD,10655,1Story,2003.0
3.0,2.0,1.0,2716.0,207000.0,WD,8198,1Story,2004.0
3.5,3.0,2.0,2581.0,192000.0,WD,9042,2Story,1998.0
4.0,3.0,2.0,3285.0,228950.0,WD,164660,1.5Fin,1965.0
3.0,3.0,1.0,3844.0,377426.0,WD,14157,1Story,2005.0
3.0,3.0,0.0,3072.0,214000.0,WD,9135,1Story,2002.0
3.0,3.0,0.0,2829.0,202500.0,WD,14145,1Story,1984.0
1.0,3.0,0.0,2430.0,155000.0,WD,12400,1Story,1958.0
2.5,4.0,0.0,2875.0,202900.0,WD,14191,2Story,2002.0
1.0,2.0,0.0,1562.0,82000.0,WD,8400,1Story,1950.0
2.0,2.0,0.0,1040.0,87500.0,WD,8544,1Story,1949.0
2.0,2.0,1.0,3368.0,266000.0,WD,8849,1Story,2005.0
1.5,3.0,0.0,1648.0,85000.0,WD,2592,2Story,1976.0
1.0,3.0,1.0,2549.0,140200.0,WD,6435,1.5Fin,1939.0
1.0,2.0,0.0,1916.0,151500.0,WD,12772,1Story,1960.0
3.0,3.0,2.0,2956.0,157500.0,WD,17600,1Story,1960.0
3.5,2.0,0.0,2390.0,154000.0,WD,2448,2Story,2003.0
3.5,4.0,2.0,4576.0,437154.0,New,20431,2Story,2005.0
2.0,2.0,1.0,3738.0,318061.0,New,7820,1Story,2007.0
2.5,2.0,1.0,2906.0,190000.0,WD,5271,1Story,1986.0
1.5,3.0,0.0,1727.0,95000.0,ConLw,9084,1.5Fin,1941.0
1.0,2.0,0.0,1344.0,105900.0,WD,8520,1Story,1928.0
1.0,2.0,2.0,2535.0,140000.0,WD,8400,1.5Fin,1940.0
3.0,3.0,0.0,2400.0,177500.0,WD,11249,1Story,1995.0
3.0,3.0,0.0,2325.0,173000.0,WD,9248,1Story,1992.0
2.5,3.0,1.0,2284.0,134000.0,WD,4224,1Story,1976.0
1.5,3.0,0.0,2414.0,130000.0,WD,6930,SLvl,1958.0
3.5,3.0,1.0,3010.0,280000.0,WD,12011,2Story,1998.0
2.0,2.0,1.0,1800.0,156000.0,WD,7540,SFoyer,1978.0
2.0,3.0,0.0,2388.0,145000.0,WD,9144,1.5Fin,1940.0
3.0,4.0,1.0,1922.0,198500.0,ConLD,7301,SFoyer,2003.0
1.5,2.0,0.0,1470.0,118000.0,WD,1680,2Story,1972.0
3.5,3.0,1.0,2370.0,190000.0,WD,18800,2Story,1976.0
1.0,3.0,0.0,2016.0,147000.0,WD,10690,2Story,1920.0
2.5,3.0,2.0,2788.0,159000.0,WD,9500,1Story,1963.0
1.5,3.0,1.0,2530.0,165000.0,WD,9150,SLvl,1962.0
1.0,2.0,1.0,2536.0,132000.0,WD,7800,1Story,1954.0
2.0,3.0,1.0,2350.0,162000.0,WD,9830,1Story,1959.0
2.5,3.0,1.0,2617.0,172400.0,WD,8121,2Story,2000.0
